f [Hz];U [dBuV]
0,009;109,946568
0,01;109,946718
0,02;109,923800
0,03;109,923547
0,04;109,924998
0,05;109,928587
0,06;109,931219
0,07;109,929870
0,08;109,923079
0,09;109,909929
0,1;109,893526
0,11;109,907589
0,12;109,919877
0,13;109,929203
0,14;109,926476
0,15;109,335932
0,2;109,911748
0,3;109,837778
0,4;109,925078
0,5;109,846202
0,6;109,789891
0,7;109,766302
0,8;109,762948
0,9;109,767979
1,0;109,776443
2,0;109,700641
3,0;109,771364
4,0;109,737172
5,0;109,702910
6,0;109,693254
7,0;109,651722
8,0;109,503887
9,0;109,464792
10,0;109,520824
11,0;109,549774
12,0;109,504524
13,0;109,488733
14,0;109,508238
15,0;109,482832
16,0;109,536581
17,0;109,569744
18,0;109,549423
19,0;109,563106
20,0;109,551308
21,0;109,536579
22,0;109,494803
23,0;109,461057
24,0;109,385320
25,0;109,302942
26,0;109,279587
27,0;109,245669
28,0;109,153085
29,0;109,105610
30,0;109,049293
