f [MHz];U [DBUV
]0,1;50,347553
0,11;50,375553
0,12;50,389858
0,13;50,426376
0,14;50,320122
0,15;49,782413
0,2;50,420914
0,3;50,217510
0,4;50,408031
0,5;50,345104
0,6;50,283241
0,7;50,267952
0,8;50,274956
0,9;50,294090
1,0;50,224190
2,0;50,270866
3,0;50,250824
4,0;50,195850
5,0;50,258602
6,0;50,120712
7,0;50,129940
8,0;50,071735
9,0;50,143852
10,0;50,158066
11,0;50,109959
12,0;50,141075
13,0;50,241585
14,0;50,147587
15,0;50,107193
16,0;50,168221
17,0;50,192799
18,0;50,161358
19,0;50,162441
20,0;50,106777
21,0;50,054317
22,0;50,049999
23,0;49,972820
24,0;49,967670
25,0;50,144123
26,0;50,036732
27,0;50,017033
28,0;50,029045
29,0;49,986542
30,0;50,134163
